iter	Passed	Remaining
833	2731	543
834	2734	540
835	2738	537
836	2742	534
837	2744	530
838	2749	527
839	2751	524
840	2755	520
841	2759	517
842	2763	514
843	2767	511
844	2768	507
845	2771	504
846	2775	501
847	2778	498
848	2783	495
849	2789	492
850	2791	488
851	2794	485
852	2795	481
853	2797	478
854	2801	475
855	2808	472
856	2810	468
857	2813	465
858	2817	462
859	2819	458
860	2822	455
861	2825	452
862	2828	448
863	2830	445
864	2833	442
865	2834	438
866	2837	435
867	2839	431
868	2845	428
869	2848	425
870	2852	422
871	2856	419
872	2860	416
873	2862	412
874	2864	409
875	2866	405
876	2869	402
877	2872	399
878	2874	395
879	2878	392
880	2882	389
881	2884	385
882	2891	383
883	2894	379
884	2899	376
885	2902	373
886	2903	369
887	2906	366
888	2909	363
889	2911	359
890	2915	356
891	2921	353
892	2922	350
893	2927	347
894	2930	343
895	2932	340
896	2936	337
897	2943	334
898	2945	330
899	2948	327
900	2951	324
901	2953	320
902	2956	317
903	2958	314
904	2963	311
905	2966	307
906	2969	304
907	2971	301
908	2972	297
909	2975	294
910	2979	291
911	2982	287
912	2987	284
913	2989	281
914	2990	277
915	2994	274
916	2997	271
917	2999	267
918	3003	264
919	3006	261
920	3009	258
921	3011	254
922	3013	251
923	3018	248
924	3021	244
925	3023	241
926	3025	238
927	3028	234
928	3032	231
929	3033	228
930	3037	225
931	3041	221
932	3043	218
933	3047	215
934	3050	212
935	3054	208
936	3057	205
937	3060	202
938	3063	198
939	3065	195
940	3067	192
941	3071	189
942	3076	185
943	3078	182
944	3082	179
945	3084	176
946	3085	172
947	3091	169
948	3094	166
949	3097	163
950	3101	159
951	3106	156
952	3108	153
953	3114	150
954	3119	146
955	3124	143
956	3128	140
957	3130	137
958	3132	133
959	3136	130
960	3137	127
961	3142	124
962	3144	120
963	3146	117
964	3151	114
965	3153	110
966	3156	107
967	3157	104
968	3162	101
969	3165	97
970	3168	94
971	3171	91
972	3175	88
973	3178	84
974	3181	81
975	3185	78
976	3187	75
977	3199	71
978	3203	68
979	3205	65
980	3210	62
981	3214	58
982	3218	55
983	3220	52
984	3222	49
985	3223	45
986	3225	42
987	3227	39
988	3230	35
989	3231	32
990	3233	29
991	3234	26
992	3236	22
993	3237	19
994	3239	16
995	3240	13
996	3242	9
997	3243	6
998	3245	3
999	3247	0
